GCP PSOE,Your security team needs to verify how organization policies are being applied across the resource hierarchy for a specific project. They want to see the combined effect of all inherited and locally-set policies for the constraints/gcp.resourceLocations constraint. Which gcloud command should they use?,gcloud resource-manager org-policies list --project=PROJECT_ID,gcloud org-policies describe constraints/gcp.resourceLocations --project=PROJECT_ID,gcloud org-policies describe constraints/gcp.resourceLocations --effective --project=PROJECT_ID,gcloud policy-intelligence analyze --org-policy=constraints/gcp.resourceLocations --project=PROJECT_ID,3,The --effective flag returns the organization policy as it is evaluated at that point in the resource hierarchy with inheritance included. This shows the result of merging policies in the resource hierarchy and evaluating conditions. Reference: https://cloud.google.com/resource-manager/docs/organization-policy/using-constraints
GCP PSOE,"Your organization is implementing centralized log collection for security analysis. You need to route audit logs from all projects to BigQuery for threat intelligence correlation. When routing logs to BigQuery, you observe that some log field names are modified in the destination table. You need to understand this behavior to correctly build queries that JOIN logs with IOC tables. What causes this behavior?",Cloud Logging applies rules to shorten BigQuery schema field names for audit logs and certain structured payload fields when routing logs.,"The first log entry received by BigQuery determines the schema, causing subsequent entries with different field names to be dropped.",BigQuery automatically truncates field names exceeding 128 characters to comply with column naming limitations.,Log sinks automatically normalize nested JSON fields by flattening the hierarchy and renaming fields with path-based prefixes.,1,"When routing audit logs to BigQuery, Cloud Logging applies rules to shorten BigQuery schema field names for audit logs and certain structured payload fields. Understanding this transformation is essential for building accurate queries that correlate logs with IOC data. Reference: https://cloud.google.com/logging/docs/audit/best-practices"
GCP PSOE,Your security team needs to detect connections to a list of suspicious IP addresses that your threat intelligence team has identified. These IP addresses are not included in the built-in Event Threat Detection threat intelligence. You want to implement this detection in Security Command Center with minimal development effort. What should you do?,Configure Cloud IDS with custom threat signatures for each IP address in your list to generate findings.,Create an Event Threat Detection custom module using the Configurable Bad IP template with your list of suspicious IP addresses.,Export VPC Flow Logs to BigQuery and create a scheduled SQL query to check for connections to your IP address list.,Submit a parser improvement request to Google Cloud Customer Care to add your IP addresses to the built-in Malware: Bad IP detector.,2,"Event Threat Detection provides custom module templates that allow you to create custom detectors with your own parameters. The Configurable Bad IP custom module allows you to specify a list of suspicious IP addresses that you maintain, and findings are generated when logs indicate connections to any of your supplied IP addresses. Reference: https://cloud.google.com/security-command-center/docs/custom-modules-etd-overview"
GCP PSOE,Your security team has deployed Google Security Operations (SecOps) SOAR and needs to configure a playbook that only triggers for alerts that match specific custom conditions based on alert metadata fields not covered by standard trigger types. The playbook should trigger only when the alert name contains 'ransomware' and the severity is 'high'. Which trigger type should you configure?,Product Name trigger configured with multiple product filters combined with a Flow condition.,Alert Type trigger with Rule Generator field matching ransomware high severity.,Tag Name trigger with pre-configured ransomware and high-severity tags.,Custom Trigger with placeholder-based conditions to match specific alert metadata criteria.,4,"Custom Trigger lets you define custom placeholders for highly specific matches, such as conditions like 'if alert name INCLUDES ransomware' combined with severity conditions. This provides the flexibility needed for complex, multi-field matching scenarios. Reference: https://cloud.google.com/chronicle/docs/soar/respond/working-with-playbooks/using-triggers-in-playbooks"
GCP PSOE,You are configuring Cloud DLP discovery to automatically tag BigQuery tables based on their calculated sensitivity levels. The tags will be used for IAM conditional access policies to restrict access to highly sensitive data. What should you configure in the discovery scan configuration?,Enable column-level security in BigQuery and use the discovery service to automatically apply policy tags to columns containing sensitive infoTypes.,"Enable the Tag resources action and specify tag values for each sensitivity level including high, moderate, low, and unknown.",Configure the discovery service to publish data profiles to BigQuery and create a Cloud Function that applies tags based on sensitivity scores.,Create an inspection template with sensitivity thresholds and configure the discovery service to use VPC Service Controls for access restriction.,2,"The Tag resources action instructs Sensitive Data Protection to automatically attach tags to resources based on the calculated sensitivity levels. You configure tag values for each sensitivity level, and IAM conditions can then grant or deny access based on tag presence. Reference: https://cloud.google.com/dlp/docs/control-access-based-on-data-sensitivity"
GCP PSOE,Your security team needs to write a custom YARA-L detection rule in Google SecOps that matches file hashes against the Applied Threat Intelligence Fusion Feed. The rule should only alert when matched indicators have been associated with known threat actors. Which context entity filtering approach should you use?,Filter the context graph using metadata.product_name = 'MANDIANT_FUSION_IOC' and evaluate if is_attributed returns a value of 1 or greater.,Filter the context graph using metadata.vendor_name = 'GOOGLE_THREAT_INTEL' and check the active_ir boolean field.,Filter the context graph using metadata.source_type = 'THREAT_INTEL' and match on confidence_score greater than 80.,Filter the context graph using entity_type = 'INDICATOR' and evaluate the threat.verdict_info.severity field for 'HIGH'.,1,"The ATI Fusion Feed context entities use the product and vendor name 'MANDIANT_FUSION_IOC'. The is_attributed field returns 1 or greater when the indicator has at least one threat association of type MALWARE or THREAT_ACTOR, allowing you to filter for only attributed indicators. Reference: https://cloud.google.com/chronicle/docs/detection/ati-fusion-feed"
GCP PSOE,"Your organization uses Security Command Center Enterprise with the SCC Enterprise – Urgent Posture Findings Connector enabled. You notice that multiple Security Health Analytics findings for the same resource type and project are creating separate cases, increasing analyst workload. You want to configure the system so related findings are grouped into single cases for more efficient triage. What determines how findings are grouped into cases?",Security analysts must manually link related findings to cases using the Security Operations console to group them appropriately.,A custom YARA-L rule must be created in Google SecOps to define the correlation logic for grouping findings into cases.,"Findings are grouped based on the time window in which they are detected, with all findings within a 24-hour period placed in the same case.","Findings with the same parameters such as finding type, resource, and resource owner are automatically grouped into one case by the connector.",4,"The SCC Enterprise – Urgent Posture Findings Connector analyzes incoming findings and groups them into new or existing cases based on matching parameters. Multiple findings with the same parameters are grouped into one case, and case priority is determined by the highest severity among all findings in the case. Reference: https://cloud.google.com/security-command-center/docs/cases-overview"
GCP PSOE,Your organization wants to implement a Cloud Monitoring alerting policy that detects when security-critical log data stops being ingested for more than 15 minutes. This could indicate a logging pipeline failure or a malicious attempt to disable logging. What type of alerting policy should you configure?,Configure a metric-absence alerting policy monitoring the log-based metric with a trigger absence time of 15 minutes.,Set up an uptime check monitoring the logging endpoint and create an alerting policy when the check fails.,Create a metric-threshold alerting policy with a condition that fires when the metric value equals zero for 15 minutes.,Configure a log-based alerting policy with a negative filter that triggers when no logs match the criteria.,1,Metric-absence alerting policies are specifically designed to detect when monitored time series have no data for a specified period. Setting the trigger absence time to 15 minutes will generate an alert when no matching log entries have been received within that window. Reference: https://cloud.google.com/monitoring/alerts/metric-absence
GCP PSOE,Your organization wants to ensure that attack exposure scores in Security Command Center accurately reflect your business priorities. You need to configure which resources should be considered high-value for attack path simulations. What should you do?,Enable the default high-value resource set and modify the built-in priority values through the Security Command Center API.,"Create IAM policies that grant elevated access to critical resources, which Risk Engine automatically detects as high-value indicators.",Configure security marks on individual resources to flag them as high-value and trigger attack path calculations for marked resources.,"Create resource value configurations to define your high-value resource set, assigning priority values of HIGH, MEDIUM, or LOW to resources that match your criteria.",4,"You must define a high-value resource set through resource value configurations to get attack exposure scores that accurately reflect your security priorities. You can assign priority values (HIGH, MEDIUM, LOW) to resources, and these values influence how Risk Engine calculates attack exposure scores during simulations. Reference: https://cloud.google.com/security-command-center/docs/attack-exposure-learn"
GCP PSOE,"Your security team uses Google SecOps for SIEM and has configured Advanced BigQuery Export to access UDM events, rule detections, and IOC matches. An analyst wants to perform custom threat hunting by comparing historical login events with a custom threat intelligence list containing suspicious IP addresses that are not included in Google Threat Intelligence feeds. How should the analyst accomplish this?",Upload the custom threat intelligence list to Google SecOps as a reference list and create an Applied Threat Intelligence feed to enable automatic IOC matching.,Query the secops_linked_data.events table in BigQuery and use a JOIN operation with a BigQuery table containing the custom threat intelligence IP addresses.,Create a custom detection rule in Google SecOps YARA-L that references the external BigQuery table containing the threat intelligence list.,Export the custom threat intelligence list to a CSV file and use the Google SecOps search interface to manually look up each IP address in the UDM search.,2,"Advanced BigQuery Export provides a linked dataset (secops_linked_data) that contains UDM events which can be queried directly in BigQuery. By joining this data with a custom table containing your organization's specific threat intelligence, analysts can hunt for threats that may not be covered by standard GTI feeds. Reference: https://cloud.google.com/chronicle/docs/reports/bigquery-export"
GCP PSOE,"Your threat hunting team receives threat intelligence feeds from multiple external sources through Pub/Sub. Some feeds publish high-priority IOCs that require immediate retrohunt execution, while others contain lower-priority indicators for batch processing. You need to design a Cloud Function-based architecture that processes messages according to their priority without losing any IOCs during processing failures. What should you do?","Deploy separate Cloud Functions for each external feed source with identical retry configurations, store all received IOCs in Cloud Storage before processing, and use a separate orchestration function to prioritize processing order.","Configure a single Pub/Sub topic with message attributes for priority, deploy one Cloud Function that filters messages by priority attribute, and delete low-priority messages after reading to prevent duplicate processing.","Create a Cloud Function that pulls from all topics simultaneously, sorts IOCs by priority in memory, processes high-priority items first, and acknowledges all messages at the end of each function execution.","Create separate Pub/Sub topics for high and low priority feeds, deploy a Cloud Function with concurrent execution for the high-priority topic, configure a dead-letter topic for failed messages, and use Cloud Scheduler to batch process low-priority IOCs.",4,Separating topics by priority enables different processing behaviors. Cloud Functions with Pub/Sub triggers support retry policies and dead-letter topics for handling failures. This ensures no messages are lost while allowing priority-based processing. Reference: https://cloud.google.com/pubsub/docs/use-with-cloud-function-triggers
