GCP PSOE,"Your organization has multiple GKE clusters across different projects and wants centralized visibility into container threats, including cryptomining, privilege escalation, and malicious code execution. You have Security Command Center Premium tier enabled. Where should you navigate in the Google Cloud console to view a summary of the top threats affecting your GKE workloads grouped by severity and category?","Security Command Center Findings page, filtered by Container Threat Detection.","GKE Security Posture dashboard, in the Top threats pane.","GKE Workloads page, in the Security tab under each deployment.","Cloud Logging Logs Explorer, filtered by GKE cluster resource type.",2,"When Security Command Center Premium or Enterprise tier is activated, the GKE security posture dashboard shows the Top threats pane that summarizes threats affecting GKE workloads, grouped by severity and category. This pane displays threats such as cryptomining, privilege escalation, and malicious code execution detected by Container Threat Detection. Reference: https://cloud.google.com/kubernetes-engine/docs/concepts/about-security-posture-dashboard"
GCP PSOE,Your security team is investigating a suspected service account impersonation attack. A user may have obtained short-lived credentials to perform unauthorized actions as a privileged service account. You need to identify the original user who initiated the impersonation chain in Cloud Audit Logs. Which field in the audit log entry should you examine?,The serviceAccountDelegationInfo field in protoPayload.authenticationInfo,The principalEmail field in protoPayload.authenticationInfo,The authorizationInfo field in protoPayload,The callerIp field in protoPayload.requestMetadata,1,"The serviceAccountDelegationInfo field in Cloud Audit Logs contains the identity delegation history of an authenticated service account, including the firstPartyPrincipal field that shows the original user who created the short-lived credentials for impersonation. This field is essential for tracing back to the actual attacker. Reference: https://cloud.google.com/iam/docs/audit-logging/examples-service-accounts"
GCP PSOE,You are configuring a BigQuery-based threat hunting solution to detect data exfiltration attempts. You need to query BigQuery audit logs to identify jobs that copied data to destination tables outside your organization's project. Which protoPayload field should you primarily analyze to identify potential cross-project data transfers?,Query the protoPayload.response.destinationTable field to identify where query results were stored after job completion.,Query the protoPayload.serviceData.jobInsertRequest.resource.jobConfiguration.query.destinationTable field for all query job destination information.,Query the protoPayload.metadata.jobChange.job.jobConfig.queryConfig.destinationTable field to identify the destination project for query job results.,Query the protoPayload.resourceName field to extract the destination table information from the resource hierarchy path.,3,"The BigQueryAuditMetadata format stores destination table information in the protoPayload.metadata structure. The destinationTable field contains the project, dataset, and table identifiers, allowing you to detect when query results are written to external projects. Reference: https://cloud.google.com/bigquery/docs/reference/auditlogs"
GCP PSOE,"Your organization uses Google Security Operations (SecOps) with Advanced BigQuery Export enabled. After receiving new threat intelligence about a campaign targeting your industry, you need to search for matching IOCs in your historical security telemetry. Which BigQuery table should you query to find artifacts that have already been matched against existing IOC feeds?",Query the ioc_matches table in the secops_linked_data dataset to find artifacts from events that match IOC feeds.,Query the rule_detections table to find all detection matches and filter for IOC-related rule names.,Export logs directly from Cloud Logging to a custom BigQuery dataset and create your own IOC matching queries.,Query the events table in the secops_linked_data dataset and manually search for IOC values using CONTAINS_SUBSTR functions.,1,"The ioc_matches table in the Advanced BigQuery Export dataset stores IOC matches found against UDM events. This table contains artifacts such as domains and IP addresses from events that have already been correlated with ingested IOC feeds, making it the appropriate source for finding historical IOC matches in your security telemetry. Reference: https://cloud.google.com/chronicle/docs/reports/bigquery-export"
GCP PSOE,Your security team needs to prioritize the remediation of thousands of vulnerability findings in Security Command Center. You want to focus on vulnerabilities that pose the greatest actual risk to your organization's critical assets. Which approach should you use to identify and prioritize the highest-risk findings?,Sort findings by attack exposure score and prioritize remediation of findings with the highest scores that expose your designated high-value resources.,Filter findings by CRITICAL severity level and remediate all critical findings before addressing findings of lower severity.,Use the Compliance page to prioritize findings that violate the most regulatory controls across your applicable security standards.,Export all findings to BigQuery and create a custom scoring algorithm based on CVSS scores and finding age.,1,"Attack exposure scores measure how much a detected security issue exposes high-value resources to potential cyberattacks. Security Command Center's Risk Engine calculates these scores based on simulated attack paths, considering the priority values assigned to high-value resources, the number of attack paths, and the likelihood of successful attacks. This provides context-aware prioritization based on actual risk. Reference: https://cloud.google.com/security-command-center/docs/attack-exposure-learn"
GCP PSOE,"A detection engineer at your organization received a CISA advisory about a new ransomware campaign targeting your industry. The engineer needs to assess whether the current Google Security Operations (SecOps) detection rules can identify the specific tactics, techniques, and procedures (TTPs) used by this threat. What should the engineer use to identify gaps in detection coverage against the MITRE ATT&CK framework?",Create a custom dashboard with filters for MITRE technique IDs to correlate advisory TTPs with historical detections.,Navigate to Detection > Rules & Detections and access the MITRE ATT&CK Matrix tab to view coverage by technique and identify gaps.,Open the Curated Detections dashboard and review rule sets mapped to MITRE tactics and techniques mentioned in the advisory.,Run a retrohunt against historical logs using YARA-L rules that match the specific TTPs described in the CISA advisory.,2,The MITRE ATT&CK matrix dashboard in Google SecOps helps understand your organization's security posture against the MITRE ATT&CK framework. It displays tactics as columns and techniques as cards that are color-coded to indicate detection coverage status. Engineers can search for specific techniques by name or ID mentioned in advisories and identify techniques showing 'No Coverage'. Reference: https://cloud.google.com/chronicle/docs/detection/mitre-dashboard
GCP PSOE,Your security team has identified a critical malware incident where a compromised container image was deployed to several GKE clusters in your organization. You need to immediately prevent any further deployments of the malicious image while your team investigates. You want to use the most effective containment approach. What should you do?,Enable Binary Authorization continuous validation on all clusters and configure it to monitor for the malicious image digest.,Update the Binary Authorization policy's defaultAdmissionRule to ALWAYS_DENY and add only verified safe images to the admissionWhitelistPatterns.,Delete the compromised container image from Artifact Registry and revoke all attestations associated with that image digest.,"Cordon and drain the affected GKE nodes, then manually delete the Pods running the compromised image from all clusters.",2,"Updating the Binary Authorization policy to ALWAYS_DENY immediately blocks all container deployments that are not explicitly whitelisted. By adding only verified safe images to admissionWhitelistPatterns, you can contain the incident by ensuring no malicious images can be deployed while allowing business-critical operations to continue with known-good images. Reference: https://cloud.google.com/binary-authorization/docs/configure-policy-gke"
GCP PSOE,Your organization needs to implement continuous monitoring of Google Cloud resource configurations across multiple projects to detect unauthorized changes to firewall rules and IAM policies. You want to receive notifications in near real-time when these changes occur. What should you do?,"Create a Cloud Asset Inventory feed that specifies firewall and IAM policy asset types, and configure it to publish changes to a Pub/Sub topic.",Configure Cloud Logging export sinks to filter and route Admin Activity audit logs for firewall and IAM changes to Pub/Sub.,Enable Security Command Center and configure continuous exports to Pub/Sub with filters for firewall and IAM findings only.,Schedule a recurring Cloud Function that calls the Cloud Asset Inventory ListAssets API every minute and compares results against a baseline stored in Cloud Storage.,1,"Cloud Asset Inventory feeds allow you to receive real-time notifications about resource and policy changes by creating and subscribing to a feed. You can specify asset types such as firewall rules and IAM policies, and notifications are published to a Pub/Sub topic. This is the recommended approach for continuous monitoring. Reference: https://cloud.google.com/asset-inventory/docs/monitor-asset-changes"
GCP PSOE,You are configuring centralized log collection for threat detection across your Google Cloud organization. You need to route all Data Access audit logs from all projects to a single BigQuery dataset for security analytics and threat hunting. Which configuration approach should you use?,Create project-level sinks in each project with identical filters targeting a shared BigQuery dataset in the security project.,Configure the _Default sink at the organization level to route Data Access logs directly to BigQuery by modifying the sink filter.,Create an intercepting aggregated sink at the organization level with the filter LOG_ID('cloudaudit.googleapis.com/data_access') and route to a log bucket with a linked BigQuery dataset.,Create a non-intercepting aggregated sink at the organization level with the filter LOG_ID('cloudaudit.googleapis.com/data_access') and set the destination to a BigQuery dataset in a centralized security project.,4,Non-intercepting aggregated sinks route log entries from the organization and all child resources to a central destination while maintaining visibility in source projects. The LOG_ID filter correctly targets Data Access audit logs for centralized security analytics. Reference: https://cloud.google.com/logging/docs/export/aggregated_sinks
GCP PSOE,Your organization wants to automate the remediation of Security Command Center findings by triggering Cloud Functions when specific vulnerabilities are detected. You need to configure Security Command Center to send findings to a Pub/Sub topic that will trigger the Cloud Functions. What should you configure first?,Create an Event Threat Detection custom module that includes the remediation logic within the detector configuration.,Deploy a Cloud Function with an HTTP trigger and configure Security Command Center to call the function endpoint directly.,Create a NotificationConfig that specifies the Pub/Sub topic and a filter for the findings you want to export.,"Configure Security Command Center to write findings directly to Cloud Logging, then create a log-based alert that triggers Cloud Functions.",3,"Creating a NotificationConfig is the required first step to enable Security Command Center to publish findings to a Pub/Sub topic. The NotificationConfig defines which findings trigger notifications through a filter and specifies the destination Pub/Sub topic. Once notifications are published to Pub/Sub, Cloud Functions can be triggered by subscriptions to that topic to perform automated remediation. Reference: https://cloud.google.com/security-command-center/docs/how-to-notifications"
GCP PSOE,You are configuring Security Command Center Premium for your organization and want to ensure that Event Threat Detection can monitor Google Workspace activity to detect threats such as external members being added to privileged Google Groups. Which configuration is required to enable this capability?,Create a custom Event Threat Detection module to parse Google Workspace activity exported to Cloud Logging.,Enable Data Access audit logs in all projects and configure the Google Workspace connector in Security Command Center.,Activate Security Command Center at the project level and enable the Google Groups monitoring module in Event Threat Detection.,Activate Security Command Center at the organization level and share Google Workspace logs with Google Cloud.,4,"Event Threat Detection can only scan Google Workspace logs when Security Command Center is activated at the organization level. Google Workspace logs track user sign-ins and actions performed in the Google Workspace Admin Console. For Event Threat Detection to monitor these logs for threats like unsafe Google Groups changes, you must share the logs with Google Cloud and have organization-level SCC activation. Reference: https://cloud.google.com/security-command-center/docs/concepts-event-threat-detection-overview"
